Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
aaron	/'eәrәn/	n. 亚伦（男子名）；[圣经]亚伦（摩西之兄, 犹太教的第一祭司长）	n. United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)	4	2	[S07E23] Excuse me, Aaron?  Hi! Umm, I have a little problem with the schedules. Originally, I wasn’t supposed to work today, and ◆ [S08E23] Yoo-hoo! Aaron Litman-Neurolic would like to say hello to his future bride.	S07E23(2), S08E23(2)
ab	/æb/	prep. 从, 自	n. the eleventh month of the civil year; the fifth month of the ecclesiastical year in the Jewish ca	2	2	[S04E13] Is it just me, or can you actually see his abs through his overcoat?! Kathy's Co-Star: Sooo, you’ve been doing this long ◆ [S10E03] It's so nice to see you! Both of you! Look at me. Look how young I look!  Oh gosh! We have so much to catch up on! But f	S04E13(1), S10E03(1)
abandon	/ә'bændәn/	vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵	n. the trait of lacking restraint or control; reckless freedom from inhibition or worry	9	7	[S02E03] You just abandoned your whole belief system. I mean, before, I didn't agree with you, but at least I respected you. How, ◆ [S02E21] I, I don't wanna meet my father over the phone.  What am I gonna say, like 'Hi, I'm Phoebe, the daughter you abandoned.  ◆ [S03E02] Right. So is it gonna be like 'I'm abandoning you while your upset.' ◆ [S03E14] Actually I said she abandoned me to write jingles. ◆ [S05E02] No, but she likes me. You abandoned her on a plane to Greece.	S02E03(1), S02E21(1), S03E02(1), S03E14(1), S05E02(2), S05E08(1), S05E13(2)
abandoner	/ә'bændәnә/	n. 遗弃者, 委付者	n. One who abandons.	1	1	[S04E01] Oh, my new Mom, who-who’s a big, fat abandoner!	S04E01(1)
abandonment	/ә'bændәmәnt/	n. 放弃, 抛弃, 放纵	n. the act of giving something up	3	1	[S05E13] Okay, umm, question 2) Umm, did that marriage end A. Happily, B. Medium, or C. In the total abandonment of her and her t	S05E13(3)
abbey	/'æbi/	n. 大修道院	n. a church associated with a monastery or convent	7	2	[S04E23] Okay, here!  I wanna be the on camera guy. All right, first stop, Westminster Abbey.	S04E23(4), S04E23-uncut(3)
abnormality	/.æbnɒ:'mæliti/	n. 反常, 畸形, 变态	n. an abnormal physical condition resulting from defective genes or developmental deficiencies	1	1	[S03E23] He couldn't even tell me! He said it was just some sort of skin... abnormality. And the worst thing is he-he-he said, he	S03E23(1)
aboard	/ә'bɒ:d/	adv. 在船上, 在火车上, 在飞机上	r. on a ship, train, plane or other vehicle	3	3	[S03E24] No-no, I heard what you said, funny. I like funny.  This team is about hard work, but it’s also about having fun. Good t ◆ [S03E25] What a minute, I know that hat! I was taken aboard that hat! They did experiments on me! I can’t have children!! ◆ [S06E15-E0616] Oh right great! Welcome aboard!	S03E24(1), S03E25(1), S06E15-E0616(1)
abort	/ә'bɒ:t/	vi. 流产, 中途失败	n. the act of terminating a project or procedure before it is completed	2	1	[S07E09] Yeah, sure Mr. Zelner, for you anything—minute. Okay. Fine.  Abort the plan, abort the plan.  Mr. Zelner: Uh actually, I	S07E09(2)
abrasive	/ә'breisiv/	n. 研磨料	n. a substance that abrades or wears down	1	1	[S05E15] All right, everyone calm down! Everyone calm down! I have something that I would like to say! Who here likes Ross?  Of c	S05E15(1)
abridgment	/ә'bridʒmәnt/	n. 删节, 删节本, 缩短, 限制	n a shortened version of a written work	1	1	[S03E12] The abridgment.	S03E12(1)
absence	/'æbsәns/	n. 缺席, 缺乏, 没有	n. the state of being absent	1	1	[S05E09] Uh-huh. Well, when the psychiatrist told me I had to take a leave of absence because I yelled at my boss I started to ge	S05E09(1)
absolute	/'æbsәlu:t/	a. 绝对的, 专制的, 完全的, 独立的	n. something that is conceived or that exists independently and not in relation to other things; som	2	2	[S01E11] Okay. Now this is just the first chapter, and I want your absolute honest opinion. Oh, oh, and on page two, he's not 're ◆ [S08E08] He’s right though, the ’74 is absolute piss.	S01E11(1), S08E08(1)
